sequence_number,Address_US,source_a,source_c,source_b,source_d,source_e,source_m,source_o,source_h,source_r,source_s,source_t,source_u,source_p,source_x,source_w,Freq,last_update,1st_update,Web_order,Gender,Address_res,Purchase,Spending
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3662,3662,1,0,1,1,128
3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3883,3914,0,0,0,1,127
10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3215,3215,0,0,0,1,174
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1465,1465,0,0,1,1,192
21,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2943,2984,1,0,0,1,386
24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1463,1486,0,0,1,1,174
26,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2460,2732,1,0,0,1,189
29,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3299,3299,0,0,0,1,90
32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2947,3171,1,0,0,1,352
44,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,868,3138,1,0,1,1,639
49,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1786,1822,0,0,0,1,41
53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,106,3573,1,0,0,1,1030
57,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1856,2424,0,0,1,1,362
58,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2212,2212,0,0,0,1,95
66,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1835,2926,1,0,0,1,80
71,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3716,3716,0,0,1,1,298
79,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2859,2859,1,0,0,1,161
82,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2862,2906,0,0,0,1,129
84,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3698,3698,1,0,0,1,98
86,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2962,3243,1,0,0,1,132
87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,841,1162,1,0,1,1,158
89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,458,3944,1,0,0,1,248
90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1269,1269,1,0,0,1,277
96,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2548,2548,1,0,0,1,230
100,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,822,1850,1,0,1,1,287
106,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2807,2807,1,0,0,1,405
115,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1128,3791,1,0,1,1,404
119,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2404,2404,0,0,0,1,114
123,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1154,1154,0,0,1,1,205
129,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,785,814,1,0,0,1,206
132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,617,3548,0,0,0,1,356
133,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3009,3009,0,0,1,1,129
146,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1109,1109,0,0,0,1,21
147,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2268,3791,0,0,0,1,605
148,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1147,1147,1,0,0,1,164
149,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2425,3914,0,0,0,1,130
150,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2296,2296,0,0,0,1,161
152,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1016,1030,1,0,0,1,451
159,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3074,3145,1,0,0,1,163
164,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2632,2632,1,0,0,1,140
166,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3543,3556,0,0,0,1,129
170,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,969,974,0,0,1,1,43
172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,364,364,1,0,0,1,249
178,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1890,1890,1,0,0,1,77
180,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2347,3276,0,0,0,1,219
182,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3772,3822,1,0,0,1,149
183,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3583,3622,1,0,0,1,140
187,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1689,1800,0,0,1,1,108
191,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1906,3521,1,0,0,1,50
