battery_power,talk_time,clock_speed,dual_sim,int_memory,nr_cores,ram,mobile_dep,mobile_wei,screen_height,screen_width,px_height,px_width,touch_screen,three_g,four_g,wifi,bluetooth,primary_cam,front_cam,price_range
1035,5,1.9,Yes,11,6,2002,1,173,17,8,831,1709,Yes,Yes,No,No,Yes,10,8,1
1807,15,0.5,Yes,61,6,3726,0.1,134,8,5,1734,1968,No,Yes,Yes,No,Yes,6,2,3
1330,11,0.5,No,38,7,1733,1,183,9,0,1290,1441,No,Yes,No,Yes,No,1,0,1
1083,4,2.9,Yes,64,3,3210,0.8,178,13,3,1025,1118,No,Yes,Yes,No,Yes,11,1,3
1519,15,2.1,No,32,1,2912,0.7,200,11,10,168,1239,Yes,Yes,No,No,No,10,0,2
1496,6,1.9,Yes,38,4,1927,0.1,126,17,4,501,506,No,No,No,Yes,Yes,14,13,1
1928,13,1.8,No,19,3,3777,1,187,7,2,691,1580,Yes,Yes,Yes,Yes,Yes,20,9,3
609,18,0.5,No,10,6,1905,0.1,81,16,3,113,1524,Yes,Yes,Yes,Yes,Yes,6,4,1
1182,19,0.5,No,8,8,2563,0.5,138,19,17,275,986,No,Yes,Yes,No,No,16,7,2
1002,19,0.8,Yes,35,2,1726,0.5,83,16,5,1345,1416,No,Yes,Yes,Yes,No,4,0,1
1989,18,2.9,Yes,17,8,2369,0.1,193,7,0,629,682,Yes,Yes,No,No,Yes,15,8,2
1554,19,2.7,Yes,47,5,509,0.7,185,12,3,319,1367,No,Yes,Yes,No,No,12,3,0
1589,6,0.6,Yes,58,7,3464,0.9,85,19,10,319,1206,Yes,Yes,Yes,Yes,Yes,7,0,3
1841,18,1.3,Yes,14,8,2304,0.6,167,7,1,593,672,No,No,No,Yes,Yes,8,6,2
1544,2,2.4,No,12,7,489,0.1,186,9,4,470,844,No,Yes,Yes,Yes,No,20,18,0
717,15,0.5,Yes,10,1,688,0.6,198,10,7,217,1106,Yes,No,No,No,Yes,5,4,0
1836,7,1.1,Yes,14,5,2469,0.7,104,18,6,168,1068,Yes,Yes,No,Yes,No,1,0,2
712,12,0.5,No,27,2,2001,0.5,86,11,10,1245,1309,Yes,Yes,No,Yes,No,11,6,1
1619,13,1.9,No,21,1,1641,0.4,138,7,2,46,562,No,Yes,Yes,No,Yes,9,2,1
966,11,2,No,34,2,3534,0.5,118,18,17,214,1523,Yes,Yes,Yes,Yes,No,10,8,3
1402,12,0.6,Yes,46,7,347,0.3,87,17,0,1081,1767,No,Yes,No,Yes,Yes,12,3,0
503,12,1.2,Yes,8,3,2583,0.4,111,11,0,201,1245,No,Yes,Yes,No,No,13,5,1
956,7,1.9,Yes,42,7,3700,0.1,133,10,0,403,1614,Yes,Yes,No,No,No,11,1,3
1057,2,2.7,No,41,4,2033,0.1,97,16,9,397,891,Yes,Yes,Yes,No,Yes,10,3,1
1231,15,0.7,Yes,7,1,3119,0.9,113,9,4,43,1663,Yes,Yes,No,No,No,7,2,3
1812,11,1.3,Yes,42,7,3338,1,162,18,13,380,1550,Yes,Yes,Yes,Yes,Yes,15,4,3
1331,20,1.6,No,16,2,1026,0.5,165,13,5,1109,1226,No,Yes,No,Yes,Yes,7,0,1
1646,19,2.3,No,41,2,3339,0.2,185,18,10,1725,1932,Yes,Yes,Yes,No,Yes,10,8,3
1658,15,1.4,No,39,1,3483,0.7,182,10,1,410,522,No,Yes,Yes,Yes,Yes,5,0,3
1296,4,0.9,Yes,14,5,490,0.5,124,7,1,811,1272,Yes,Yes,Yes,Yes,No,3,0,0
848,14,2.1,Yes,19,7,3359,0.8,148,10,0,176,1029,No,Yes,Yes,No,Yes,18,10,2
1454,2,2.6,No,6,3,1300,0.4,199,10,0,698,1018,No,No,No,Yes,No,20,8,1
1944,8,1.8,Yes,31,4,2560,0.8,87,7,3,1111,1362,No,Yes,Yes,No,Yes,10,0,3
915,9,2,No,31,3,378,0.3,91,11,6,875,1316,Yes,Yes,Yes,No,No,20,8,0
769,11,1.2,No,17,8,1877,0.1,95,18,2,1384,1454,No,No,No,Yes,Yes,4,2,1
936,3,1,No,18,3,2391,0.2,153,12,6,1330,1686,Yes,Yes,No,Yes,No,18,1,2
1659,9,2.5,No,41,7,545,0.1,88,12,0,787,1515,Yes,No,No,Yes,Yes,18,2,0
1372,20,2.7,No,34,4,725,0.4,193,11,3,687,937,No,Yes,No,No,Yes,17,7,0
683,15,2.1,No,30,7,2066,0.1,197,9,0,927,1135,No,No,No,No,Yes,8,7,1
733,9,0.6,Yes,63,7,984,0.3,105,17,4,950,1739,No,Yes,No,Yes,Yes,10,0,0
1936,13,2.1,Yes,46,3,2552,0.6,104,14,7,667,1036,No,Yes,Yes,No,No,20,10,2
909,4,1.4,No,53,8,3187,0.3,82,12,9,635,973,No,Yes,No,No,Yes,0,0,2
842,19,2.2,No,7,2,2549,0.6,188,9,7,20,756,No,No,No,Yes,No,2,1,1
1732,11,1.1,No,12,8,1308,0.8,119,16,7,824,881,No,Yes,Yes,Yes,Yes,9,4,1
